    51/149     3.24G   0.03209   0.02162         0   0.05371         4       640      0.74    0.6212    0.6847    0.3901   0.04077   0.02478         0
    52/149     3.24G   0.03071   0.02235         0   0.05307         4       640    0.7399    0.6727     0.715    0.4017   0.04108   0.02196         0
    53/149     3.24G   0.03114   0.02126         0    0.0524         9       640    0.7415    0.6788     0.702    0.3976   0.04084   0.02198         0
    54/149     3.24G   0.03004   0.02203         0   0.05207         3       640    0.7182     0.703    0.6982    0.3873   0.04103   0.02286         0
    55/149     3.24G   0.02975    0.0222         0   0.05196         4       640    0.6916    0.7273    0.7198    0.4205   0.03867   0.02116         0
    56/149     3.24G   0.03052   0.02227         0   0.05278         8       640     0.832    0.6453    0.7415    0.4214   0.04215   0.02096         0
    57/149     3.24G   0.02892   0.02106         0   0.04998         1       640    0.7758    0.6605    0.7306    0.3866   0.04258   0.02213         0
    58/149     3.24G   0.03069    0.0233         0   0.05399         2       640    0.8064    0.6485    0.7406    0.4249   0.03944   0.02242         0
    59/149     3.24G    0.0284   0.01941         0    0.0478         1       640    0.8432    0.6364    0.7379    0.4105   0.04056   0.02267         0
    60/149     3.24G   0.02946   0.02181         0   0.05127        11       640     0.833     0.697    0.7567    0.4432   0.03865   0.02246         0
    61/149     3.24G   0.02717   0.02025         0   0.04742         1       640    0.7885    0.6665    0.7193    0.4055    0.0395   0.02417         0
    62/149     3.24G   0.02865   0.02003         0   0.04868         1       640    0.7748     0.709    0.7487    0.4261   0.04015   0.02119         0
    63/149     3.24G   0.02931   0.02123         0   0.05054         8       640    0.7971     0.703    0.7516    0.4352   0.03994   0.02246         0
    64/149     3.24G   0.02746   0.01975         0   0.04721         1       640    0.7264    0.6998    0.7197    0.4145   0.03864   0.02395         0
    65/149     3.24G   0.02724   0.01995         0    0.0472         8       640    0.6732    0.7121    0.7171     0.413   0.03874   0.02326         0
    66/149     3.24G   0.02684   0.01882         0   0.04565         2       640    0.7108    0.6424     0.686    0.3923   0.04055   0.02441         0
    67/149     3.24G   0.02742   0.01834         0   0.04577         1       640    0.8344    0.6273    0.7208    0.4062   0.04104   0.02344         0
    68/149     3.24G   0.02777   0.02015         0   0.04792         1       640    0.7507    0.6758    0.7143    0.4114    0.0386   0.02431         0
    69/149     3.24G   0.02587   0.01925         0   0.04512         1       640    0.7746    0.6664    0.7329    0.4235   0.03826   0.02428         0
    70/149     3.24G   0.02593   0.01923         0   0.04517        11       640    0.7535    0.6392    0.7163    0.4279   0.03722     0.023         0
    71/149     3.24G   0.02755   0.01957         0   0.04712         5       640    0.7881    0.6576    0.7396    0.4187   0.03811   0.02259         0
    72/149     3.24G   0.02665   0.01884         0   0.04549         4       640    0.7645    0.6697     0.732    0.4272   0.03872   0.02291         0
    73/149     3.24G   0.02477   0.01885         0   0.04362         2       640    0.7832    0.6576    0.7485    0.4459   0.03842   0.02283         0
    74/149     3.24G   0.02612    0.0179         0   0.04402         6       640    0.8013    0.6242    0.7034    0.4164   0.03941   0.02322         0
    75/149     3.24G   0.02517   0.01932         0   0.04448         6       640    0.7985    0.6727    0.7196    0.4242   0.03867   0.02452         0
    76/149     3.24G   0.02655   0.02109         0   0.04764         4       640    0.8081    0.6635    0.7227    0.4263    0.0398   0.02461         0
    77/149     3.24G   0.02377   0.01824         0   0.04201         2       640    0.7925    0.6485    0.7266    0.4359    0.0381   0.02359         0
    78/149     3.24G   0.02553   0.01783         0   0.04336         4       640    0.7994    0.6909     0.755    0.4291   0.03811   0.02352         0
    79/149     3.24G   0.02496   0.01804         0     0.043         4       640    0.7725    0.6484    0.7089    0.4215   0.03943   0.02403         0
    80/149     3.24G    0.0256   0.01804         0   0.04364         4       640    0.8331    0.6697    0.7342    0.4195   0.03805   0.02319         0
    81/149     3.24G   0.02525   0.01851         0   0.04376         6       640    0.7889    0.6606     0.744    0.4214   0.03877   0.02385         0
    82/149     3.24G   0.02474   0.01876         0    0.0435         3       640    0.8097    0.6575    0.7407    0.4462   0.03742   0.02328         0
    83/149     3.24G   0.02392    0.0181         0   0.04202        12       640    0.7629    0.6879    0.7272    0.4435   0.03751   0.02452         0
    84/149     3.24G   0.02499   0.01653         0   0.04152         1       640    0.8598    0.6693    0.7656    0.4499   0.03851    0.0237         0
    85/149     3.24G   0.02458   0.01703         0    0.0416         6       640    0.7992    0.6635    0.7231    0.4292   0.03866   0.02452         0
    86/149     3.24G   0.02314   0.01783         0   0.04097         9       640    0.8547    0.6606    0.7433    0.4467   0.03848   0.02375         0
    87/149     3.24G   0.02289   0.01696         0   0.03985         7       640    0.7614    0.7182    0.7397    0.4555   0.03748   0.02453         0
    88/149     3.24G   0.02299    0.0174         0   0.04038         8       640    0.8159    0.6848    0.7328    0.4512   0.03851   0.02517         0
    89/149     3.24G   0.02328   0.01756         0   0.04084         5       640       0.8    0.6423    0.7091    0.4443   0.03763   0.02496         0
    90/149     3.24G   0.02314   0.01747         0   0.04061         7       640     0.786    0.6909      0.74    0.4504   0.03659   0.02418         0
    91/149     3.24G   0.02425   0.01697         0   0.04122         5       640    0.7651    0.6909    0.7255    0.4456   0.03693   0.02442         0
    92/149     3.24G   0.02311    0.0175         0   0.04061         7       640    0.7971     0.703    0.7322    0.4525   0.03782   0.02415         0
    93/149     3.24G   0.02292   0.01704         0   0.03997         7       640    0.7633    0.6848    0.7246    0.4436   0.03782   0.02486         0
    94/149     3.24G   0.02239   0.01625         0   0.03863         4       640    0.7571    0.7084    0.7377    0.4481    0.0369   0.02483         0
    95/149     3.24G   0.02184   0.01767         0   0.03951         6       640    0.8033    0.6818    0.7325    0.4436   0.03681   0.02535         0
    96/149     3.24G   0.02221   0.02153         0   0.04375        18       640    0.7993    0.6878    0.7367    0.4402   0.03768   0.02497         0
    97/149     3.24G   0.02119   0.01695         0   0.03814         9       640    0.7521    0.7091     0.735    0.4437   0.03673   0.02502         0
    98/149     3.24G   0.02129   0.01623         0   0.03753         1       640    0.8136    0.6636    0.7319    0.4335   0.03869   0.02443         0
    99/149     3.24G   0.02235   0.01801         0   0.04035         7       640    0.8308    0.6846     0.733    0.4202    0.0396    0.0258         0
   100/149     3.24G   0.02137   0.01629         0   0.03766         2       640    0.8407    0.6878    0.7258    0.4423   0.03888   0.02436         0
   101/149     3.24G   0.02106   0.01579         0   0.03686         5       640    0.8325    0.6485    0.7323    0.4493   0.03774   0.02459         0
   102/149     3.24G   0.02206    0.0178         0   0.03986         7       640    0.7812    0.6818    0.7332    0.4424   0.03757   0.02444         0
   103/149     3.24G   0.02264   0.01521         0   0.03785         2       640    0.7508    0.7302    0.7314    0.4419    0.0377   0.02454         0
   104/149     3.24G   0.02126   0.01685         0   0.03811         1       640    0.7986    0.6727    0.7232    0.4351    0.0378   0.02403         0
   105/149     3.24G   0.02188   0.01714         0   0.03902         4       640    0.8074    0.6879      0.74    0.4431   0.03701   0.02483         0
   106/149     3.24G   0.02245   0.01643         0   0.03888         3       640    0.7712    0.7454    0.7542    0.4509   0.03644   0.02448         0
   107/149     3.24G   0.02103    0.0153         0   0.03633         1       640    0.8271    0.6697    0.7275    0.4336   0.03813    0.0255         0
   108/149     3.24G   0.02083   0.01551         0   0.03634         1       640    0.8135    0.6879    0.7395    0.4417   0.03737   0.02492         0
   109/149     3.24G   0.02065   0.01713         0   0.03778         9       640    0.7971    0.7152    0.7418    0.4417   0.03798   0.02517         0
   110/149     3.24G   0.02061   0.01622         0   0.03683         2       640    0.8446    0.7091    0.7514    0.4552   0.03869   0.02537         0
   111/149     3.24G   0.02173   0.01595         0   0.03768         2       640    0.8109    0.6636     0.725    0.4452   0.03778   0.02619         0
   112/149     3.24G      0.02   0.01535         0   0.03535         3       640    0.8021    0.6878    0.7146    0.4422   0.03906   0.02542         0
   113/149     3.24G   0.02056   0.01524         0    0.0358         5       640    0.8308    0.6844    0.7368    0.4587   0.03715   0.02555         0
   114/149     3.24G   0.01997   0.01439         0   0.03436         1       640    0.8123    0.6727    0.7352    0.4482   0.03749   0.02617         0
   115/149     3.24G    0.0202   0.01651         0   0.03671        11       640    0.8489      0.63    0.7096    0.4361   0.03813   0.02617         0
   116/149     3.24G   0.02019   0.01689         0   0.03709         6       640    0.7653    0.7114    0.7296    0.4454   0.03725   0.02581         0
   117/149     3.24G   0.01982   0.01568         0    0.0355         4       640    0.8352    0.6756    0.7455     0.454   0.03809   0.02576         0
   118/149     3.24G   0.02014   0.01636         0   0.03651         7       640    0.7555    0.7118     0.716    0.4417    0.0378   0.02649         0
   119/149     3.24G   0.02113    0.0144         0   0.03553         1       640    0.8459    0.6818    0.7476    0.4508   0.03842   0.02576         0
   120/149     3.24G   0.01947   0.01496         0   0.03443         1       640    0.7848     0.697    0.7378      0.44   0.03749   0.02654         0
   121/149     3.24G   0.01985   0.01542         0   0.03527         1       640    0.8473    0.6727     0.735    0.4437   0.03766   0.02534         0
   122/149     3.24G    0.0188   0.01382         0   0.03262         0       640       0.8    0.6908    0.7303    0.4493   0.03839   0.02572         0
   123/149     3.24G   0.01925   0.01488         0   0.03412         2       640    0.7719    0.7394     0.732    0.4499    0.0383   0.02572         0
   124/149     3.24G   0.01936   0.01533         0   0.03469         6       640    0.7737    0.7152    0.7284    0.4439   0.03824   0.02663         0
   125/149     3.24G    0.0193   0.01443         0   0.03373         2       640    0.7896    0.6938    0.7284    0.4499   0.03816   0.02658         0
   126/149     3.24G   0.01919   0.01501         0    0.0342         5       640    0.8079    0.6756    0.7256    0.4529   0.03708   0.02454         0
   127/149     3.24G   0.01858   0.01498         0   0.03356         1       640    0.8093    0.6817    0.7283    0.4495   0.03858   0.02572         0
   128/149     3.24G    0.0186   0.01495         0   0.03354         1       640    0.8077    0.6998    0.7261    0.4521   0.03815    0.0261         0
   129/149     3.24G   0.01877   0.01379         0   0.03256         5       640    0.7943    0.6909    0.7396    0.4522   0.03779    0.0257         0
   130/149     3.24G   0.01826     0.015         0   0.03326         2       640    0.7863     0.703    0.7445    0.4667   0.03772   0.02433         0
   131/149     3.24G    0.0187   0.01671         0    0.0354        25       640    0.8085    0.6667    0.7392     0.461   0.03852    0.0251         0
   132/149     3.24G   0.01897    0.0151         0   0.03407         8       640    0.8175    0.6786    0.7392    0.4598   0.03809   0.02506         0
   133/149     3.24G   0.01869   0.01437         0   0.03306         8       640    0.8402    0.6424    0.7271    0.4547   0.03991   0.02567         0
   134/149     3.24G   0.01836   0.01432         0   0.03268         5       640    0.7904    0.6969    0.7419    0.4652   0.03872   0.02546         0
   135/149     3.24G   0.01856   0.01507         0   0.03363         2       640    0.7946     0.715    0.7425    0.4615   0.03764   0.02507         0
   136/149     3.24G   0.01849   0.01446         0   0.03295         1       640    0.7392    0.7388    0.7499    0.4624   0.03737   0.02478         0
   137/149     3.24G   0.01744   0.01417         0    0.0316         1       640    0.8141    0.6634    0.7484    0.4705    0.0375   0.02546         0
   138/149     3.24G   0.01873   0.01409         0   0.03282         2       640    0.7664    0.7061    0.7354    0.4548   0.03775   0.02639         0
   139/149     3.24G   0.01803   0.01592         0   0.03396        19       640    0.7727    0.7212    0.7464    0.4557   0.03796   0.02652         0
   140/149     3.24G   0.01789   0.01472         0   0.03261         5       640    0.8215    0.6696    0.7404    0.4566   0.03764   0.02665         0
   141/149     3.24G   0.01832   0.01425         0   0.03257         2       640     0.771    0.7061    0.7239    0.4486   0.03818   0.02663         0
   142/149     3.24G   0.01795   0.01411         0   0.03206         1       640    0.8026    0.7152    0.7231    0.4437   0.03804   0.02688         0
   143/149     3.24G   0.01739    0.0136         0   0.03099         3       640    0.7571    0.7273    0.7319    0.4501   0.03717   0.02689         0
   144/149     3.24G   0.01849   0.01444         0   0.03293         1       640    0.8083     0.703    0.7391     0.454   0.03714   0.02618         0
   145/149     3.24G   0.01739   0.01474         0   0.03213         6       640    0.8027    0.6909     0.737    0.4598   0.03788   0.02561         0
   146/149     3.24G   0.01777   0.01426         0   0.03203         6       640    0.8182     0.697    0.7454    0.4596    0.0377    0.0258         0
   147/149     3.24G   0.01853   0.01456         0   0.03309         1       640    0.8321    0.6909    0.7405    0.4619   0.03742   0.02661         0
   148/149     3.24G   0.01807   0.01406         0   0.03213         7       640    0.8406    0.6879    0.7418      0.46   0.03828   0.02656         0
   149/149     3.24G   0.01772   0.01515         0   0.03287         6       640    0.8591    0.6848    0.7439    0.4583   0.03812   0.02638         0
